Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_50p_Score,Y3_Premium_100p_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,Beat_Score_50p,Beat_Score_100p,High_52W,Pct_From_52W_High,At_52W_High
114,BLDR,Building Materials,66.6,12.8,-2.8,-7.2,6.9,3.3,-10.7,-27.4,-69.5,-66.8,-24.2,66.6,761.1,-34.7,1.5,1609.5,2459.0,211.7,148.0,148.0,151.0,151.0,0.0,0.0,114.0,114.0,-1,503.20000000000005,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,148.0,148.0,151.0,151.0,0.0,0.0,,0.0,0.0,0.0,0.0,114.0,114.0,9109246161.04,9.109,517.0,other,equity,data_raw,011000001,011111100,118.0,30.0,133.3,133.3,133.3,88.9,6,9,1.0,281.3,281.3,236.9,131.5,-35.6,False
115,487240.KS,Korea AI Power,191.5,51.7,7.8,12.7,-9.5,-4.6,17.5,67.9,,,,191.5,341.8,-21.3,1.2,171.5,21.5,211.9,147.0,147.0,95.0,95.0,0.0,0.0,115.0,115.0,15,-5.600000000000001,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL,,,,,147.0,147.0,95.0,95.0,0.0,0.0,,0.0,0.0,0.0,0.0,115.0,115.0,36073000000.0,36.073,,etf,etf,data_raw,10011---1,--------1,173.7,70.0,200.0,33.3,33.3,33.3,1,1,0.167,277.0,277.0,277.0,64630.0,-33.0,False
116,ARM,Semiconductors,143.4,59.4,-9.4,-7.9,-13.8,27.0,88.1,93.5,,,,143.4,209.4,-70.9,2.7,-11.0,3.1,176.2,186.0,186.0,110.0,110.0,0.0,0.0,116.0,116.0,-5,0.5,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,186.0,186.0,110.0,110.0,0.0,0.0,,0.0,0.0,0.0,0.0,116.0,116.0,336743870148.99,336.744,39.0,cap100,equity,data_raw,00111---1,--------1,173.7,70.0,200.0,33.3,33.3,33.3,1,1,0.167,277.0,277.0,277.0,452.608,-30.34,False
117,OKE,Oil & Gas Midstream,120.3,51.4,-3.3,-3.7,3.9,-2.9,0.4,3.4,-13.4,-4.1,54.1,120.3,292.4,-60.3,1.2,236.0,145.3,265.4,116.0,116.0,120.0,120.0,0.0,0.0,117.0,117.0,-22,14.800000000000011,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,116.0,116.0,120.0,120.0,0.0,0.0,,0.0,0.0,0.0,0.0,117.0,117.0,55335786544.78,55.336,226.0,large,equity,data_raw,010110011,110111100,140.3,70.0,133.3,66.7,66.7,44.4,3,9,1.0,277.0,277.0,254.7,96.07,-8.58,False
118,BAESY,Aerospace & Defense,111.7,62.6,-1.0,-1.0,-5.0,-15.0,-8.6,-11.3,13.8,59.6,108.2,111.7,218.5,-65.9,1.2,229.4,52.88213420767205,256.9,123.0,123.0,128.0,128.0,0.0,0.0,118.0,118.0,4,0.0,STRONG_DOWN,UPPER_RANGE,NEUTRAL,S5_TRASH,,,,,123.0,123.0,128.0,128.0,0.0,0.0,,0.0,0.0,0.0,0.0,118.0,118.0,74978064439.82,74.978,172.0,large,equity,data_raw,000001111,000011111,118.0,70.0,111.1,88.9,88.9,0.0,4,9,1.0,276.9,276.9,188.0,126.0,-18.87,False
119,ADI,Semiconductors,122.8,66.0,-8.0,-4.7,-3.7,-3.0,4.1,21.7,35.7,46.3,64.6,122.8,190.7,-7.8,1.7,91.1,18.5,267.9,113.0,113.0,116.0,116.0,0.0,0.0,119.0,119.0,-2,4.0,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,113.0,113.0,116.0,116.0,0.0,0.0,,0.0,0.0,0.0,0.0,119.0,119.0,183709749790.17,183.71,68.0,cap100,equity,data_raw,000111111,111-11111,183.7,70.0,177.8,22.2,22.2,0.0,1,9,1.0,275.9,275.9,253.7,445.83,-15.4,False
120,AMCR,Packaging & Containers,303.1,82.2,3.1,2.4,12.1,9.2,64.8,225.5,306.2,291.1,295.7,303.1,398.6,-134.7,2.8,42.6,-22.2,448.2,66.0,66.0,67.0,67.0,0.0,0.0,120.0,120.0,39,2.5,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,66.0,66.0,67.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,120.0,120.0,20805556050.0,20.806,406.0,other,equity,data_raw,111111111,000010001,140.2,110.0,44.4,22.2,22.2,22.2,1,9,1.0,272.4,272.4,272.4,50.94,-11.66,False
121,C,Diversified Banks,117.7,91.1,-5.6,-3.4,5.1,6.1,9.7,20.5,81.4,109.9,117.4,117.7,135.4,-58.5,1.2,54.7,2.0,262.8,117.0,117.0,121.0,121.0,0.0,0.0,121.0,121.0,-3,0.5,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,117.0,117.0,121.0,121.0,0.0,0.0,,0.0,0.0,0.0,0.0,121.0,121.0,238729608473.35,238.73,54.0,cap100,equity,data_raw,011111111,-10000111,155.9,70.0,88.9,44.4,44.4,44.4,2,9,1.0,270.3,270.3,270.3,147.96,-5.4,False
122,CTAS,Commercial Services,78.2,35.4,4.8,3.3,5.4,1.5,-5.2,-13.9,-28.0,-19.2,-5.6,78.2,229.6,-4.0,1.5,398.2,288.2,223.3,142.0,142.0,146.0,146.0,0.0,0.0,122.0,122.0,11,-70.69999999999999,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,142.0,142.0,146.0,146.0,0.0,0.0,,0.0,0.0,0.0,0.0,122.0,122.0,72572824153.18,72.573,178.0,large,equity,data_raw,111000001,111111110,151.3,30.0,177.8,88.9,88.9,0.0,4,9,1.0,270.2,270.2,181.3,209.08,-13.25,False
123,ON,Semiconductors,105.2,39.0,-1.1,-1.5,-13.1,-2.0,17.8,38.6,6.6,-10.9,35.0,105.2,342.5,-46.0,3.0,58.3,53.2,250.2,128.0,128.0,133.0,133.0,0.0,0.0,123.0,123.0,-3,0.8000000000000043,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,128.0,128.0,133.0,133.0,0.0,0.0,,0.0,0.0,0.0,0.0,123.0,123.0,35501511089.52,35.502,300.0,large,equity,data_raw,000111011,110111000,129.2,70.0,111.1,66.7,66.7,66.7,3,9,1.0,265.9,265.9,265.9,134.92,-32.39,False
124,CMI,Industrial Machinery,176.8,81.9,-8.5,-5.7,0.8,1.4,5.3,27.5,79.8,109.7,129.6,176.8,223.8,-35.6,1.2,105.2,11.1,321.9,96.0,96.0,100.0,100.0,0.0,0.0,124.0,124.0,4,2.5,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,96.0,96.0,100.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,124.0,124.0,91307367318.34,91.307,130.0,large,equity,data_raw,011111111,000010111,151.3,70.0,88.9,44.4,44.4,22.2,2,9,1.0,265.7,265.7,243.5,737.1,-10.23,False
125,NET,Information Technology,223.5,45.4,0.2,0.0,-5.1,0.5,11.0,6.7,90.1,111.5,,223.5,451.4,-29.0,1.3,327.6,95.8,306.5,100.0,100.0,81.0,81.0,0.0,0.0,125.0,125.0,-6,1.0,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,100.0,100.0,81.0,81.0,0.0,0.0,,0.0,0.0,0.0,0.0,125.0,125.0,77858416786.15,77.858,161.0,large,equity,data_raw,0011111-1,----00011,128.0,70.0,80.0,66.7,66.7,66.7,2,5,0.833,264.7,264.7,264.7,276.815,-12.43,False
126,DD,Specialty Chemicals,306.1,98.6,0.7,-0.2,98.4,146.2,172.7,242.4,303.2,335.1,367.2,306.1,312.5,-103.7,2.2,-66.0,-18.0,451.2,65.0,65.0,66.0,66.0,0.0,0.0,126.0,126.0,-3,0.3000000000000007,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,65.0,65.0,66.0,66.0,0.0,0.0,,0.0,0.0,0.0,0.0,126.0,126.0,18890564888.37,18.891,424.0,other,equity,data_raw,011111111,000010001,129.1,110.0,44.4,22.2,22.2,22.2,1,9,1.0,261.3,261.3,261.3,144.845,-3.41,False
127,AMP,Asset Management,85.7,45.4,7.8,5.9,6.6,3.2,-2.2,-7.7,-21.6,-14.6,23.7,85.7,218.6,-24.3,1.3,263.1,169.7,230.8,137.0,137.0,143.0,143.0,0.0,0.0,127.0,127.0,26,-61.20000000000002,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,137.0,137.0,143.0,143.0,0.0,0.0,,0.0,0.0,0.0,0.0,127.0,127.0,43974057938.65,43.974,265.0,large,equity,data_raw,111000011,011111100,140.3,30.0,133.3,88.9,88.9,44.4,4,9,1.0,259.2,259.2,214.7,550.18,-11.09,False
128,RCL,Travel Services,95.7,62.3,-9.6,-9.0,0.6,0.2,-4.5,-10.4,37.0,144.0,154.2,95.7,219.6,-108.0,1.3,187.2,52.1,240.7,132.0,132.0,138.0,138.0,0.0,0.0,128.0,128.0,-43,13.600000000000001,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,132.0,132.0,138.0,138.0,0.0,0.0,,0.0,0.0,0.0,0.0,128.0,128.0,79466168707.54,79.466,155.0,large,equity,data_raw,011001111,100001111,140.3,30.0,111.1,88.9,88.9,66.7,4,9,1.0,259.2,259.2,237.0,356.39,-16.86,False
129,LYV,Entertainment,75.5,70.5,4.6,1.8,6.4,9.0,12.1,11.1,25.8,23.7,30.2,75.5,117.4,-22.9,1.3,65.7,17.7,220.6,144.0,144.0,148.0,148.0,0.0,0.0,129.0,129.0,2,-2.400000000000002,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,144.0,144.0,148.0,148.0,0.0,0.0,,0.0,0.0,0.0,0.0,129.0,129.0,43421880313.19,43.422,269.0,large,equity,data_raw,111111111,111100011,184.7,30.0,133.3,44.4,44.4,0.0,2,9,1.0,259.1,259.1,214.7,187.635,-0.56,False
130,HLT,Lodging,105.5,86.6,-0.4,-0.6,2.7,1.0,2.6,7.1,17.4,34.3,55.2,105.5,125.4,-21.3,1.2,92.8,22.0,250.6,127.0,127.0,132.0,132.0,0.0,0.0,130.0,130.0,5,0.3000000000000007,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,127.0,127.0,132.0,132.0,0.0,0.0,,0.0,0.0,0.0,0.0,130.0,130.0,76972466429.08,76.972,164.0,large,equity,data_raw,011111111,110101111,184.7,70.0,155.6,0.0,0.0,0.0,0,9,1.0,254.7,254.7,254.7,358.0,-5.55,False
131,DE,Agricultural & Construction Machinery,108.0,68.0,-0.9,-0.9,7.7,3.7,5.6,10.6,9.0,0.2,27.1,108.0,162.8,-9.5,1.3,120.9,37.0,253.0,125.0,125.0,130.0,130.0,0.0,0.0,131.0,131.0,-5,1.1000000000000014,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,125.0,125.0,130.0,130.0,0.0,0.0,,0.0,0.0,0.0,0.0,131.0,131.0,167704029301.97,167.704,76.0,cap100,equity,data_raw,011111111,101110001,162.5,70.0,111.1,22.2,22.2,22.2,1,9,1.0,254.7,254.7,254.7,674.19,-7.85,False
132,INSM,Biotechnology,210.3,38.8,3.6,5.8,5.7,-13.5,-24.2,-28.6,79.3,168.8,175.3,210.3,673.7,-82.7,1.3,853.1,291.9,355.4,84.0,84.0,88.0,88.0,0.0,0.0,132.0,132.0,10,-42.10000000000002,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,84.0,84.0,88.0,88.0,0.0,0.0,,0.0,0.0,0.0,0.0,132.0,132.0,24189573200.86,24.19,375.0,other,equity,data_raw,110001111,000000111,118.0,70.0,66.7,66.7,66.7,66.7,3,9,1.0,254.7,254.7,254.7,212.75,-47.54,False
133,MELI,Internet Retail,121.3,23.4,2.1,3.1,2.5,-3.5,-9.9,-23.1,-35.9,-33.8,-36.0,121.3,549.4,-11.6,1.4,1002.6,782.9,266.4,115.0,115.0,119.0,119.0,0.0,0.0,133.0,133.0,8,-104.80000000000007,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,115.0,115.0,119.0,119.0,0.0,0.0,,0.0,0.0,0.0,0.0,133.0,133.0,89397382108.89,89.397,136.0,large,equity,data_raw,110000001,111100110,118.0,70.0,133.3,66.7,66.7,44.4,3,9,1.0,254.7,254.7,232.4,2428.0,-27.37,False
134,ODFL,Trucking,102.8,42.5,-2.9,-2.7,-1.5,-1.3,5.9,19.2,-14.8,-26.0,-9.3,102.8,254.8,-15.5,1.7,139.3,121.7,247.9,129.0,129.0,134.0,134.0,0.0,0.0,134.0,134.0,-20,11.200000000000003,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,129.0,129.0,134.0,134.0,0.0,0.0,,0.0,0.0,0.0,0.0,134.0,134.0,45264295525.61,45.264,260.0,large,equity,data_raw,000110001,111111000,118.0,70.0,133.3,66.7,66.7,44.4,3,9,1.0,254.7,254.7,232.4,252.03,-13.64,False
135,KLAC,Semiconductor Equipment,-88.4,0.1,-0.9,-7.4,-48.7,-71.3,-79.8,-85.1,-101.9,-110.3,-111.4,-88.4,1362.7,-89.2,1.2,0.0,41471.6,56.7,421.0,421.0,452.0,452.0,0.0,0.0,135.0,135.0,2,826.1999999999971,EARLY_UP,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,421.0,421.0,452.0,452.0,0.0,0.0,,0.0,0.0,0.0,0.0,135.0,135.0,307693129701.94,307.693,41.0,cap100,equity,data_raw,000000000,011111110,95.8,0.0,155.6,155.6,155.6,111.1,7,9,1.0,251.4,251.4,206.9,2431.29,-90.31,False
136,006800.KS,Securities,330.3,40.0,-0.8,-2.4,-20.1,-33.7,-19.3,26.1,266.3,328.0,345.4,330.3,974.3,-97.4,1.3,666.1,28.4,475.4,62.0,62.0,63.0,63.0,0.0,0.0,136.0,136.0,2,6.599999999999998,STRONG_DOWN,MID_RANGE,NEUTRAL,S5_TRASH,,,,,62.0,62.0,63.0,63.0,0.0,0.0,,0.0,0.0,0.0,0.0,136.0,136.0,17599703597300.0,17599.704,,etf,etf,data_raw,000011111,000000011,95.8,110.0,44.4,44.4,44.4,44.4,2,9,1.0,250.2,250.2,250.2,87800.0,-54.27,False
137,AJG,Insurance Brokers,32.5,26.5,9.6,9.5,14.8,12.6,4.9,-8.5,-34.9,-34.8,-20.3,32.5,215.4,-33.0,2.1,329.4,340.8,177.6,183.0,183.0,189.0,189.0,0.0,0.0,137.0,137.0,14,-278.99999999999994,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,183.0,183.0,189.0,189.0,0.0,0.0,,0.0,0.0,0.0,0.0,137.0,137.0,64862439107.3,64.862,197.0,large,equity,data_raw,111100001,111111100,151.39999999999998,30.0,155.6,66.7,66.7,0.0,3,9,1.0,248.1,248.1,181.4,284.17,-11.17,False
138,CF,Fertilizers & Agricultural Chemicals,65.2,43.8,2.8,2.4,0.8,-9.7,1.9,9.5,5.0,-2.4,37.0,65.2,221.2,-55.7,1.6,104.9,41.4,210.3,149.0,149.0,152.0,152.0,0.0,0.0,138.0,138.0,6,-4.700000000000003,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,149.0,149.0,152.0,152.0,0.0,0.0,,0.0,0.0,0.0,0.0,138.0,138.0,16982180088.61,16.982,436.0,other,equity,data_raw,110111011,100111001,151.39999999999998,30.0,111.1,66.7,66.7,22.2,3,9,1.0,248.1,248.1,203.6,141.96,-22.13,False
139,AXP,Consumer Finance,72.3,65.6,3.0,1.2,7.6,6.3,1.3,-2.6,11.4,23.7,42.8,72.3,125.3,-28.1,1.3,117.0,39.7,217.4,146.0,146.0,150.0,150.0,0.0,0.0,139.0,139.0,9,-3.5999999999999943,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,146.0,146.0,150.0,150.0,0.0,0.0,,0.0,0.0,0.0,0.0,139.0,139.0,240151609047.85,240.152,53.0,cap100,equity,data_raw,111101111,110001111,173.60000000000002,30.0,133.3,44.4,44.4,0.0,2,9,1.0,248.0,248.0,203.6,387.49,-9.17,False
140,ROK,Industrial Machinery,50.5,80.6,-8.5,-3.2,1.4,7.4,7.6,12.7,21.1,14.8,21.8,50.5,70.8,-33.7,1.6,15.8,-2.0,195.6,165.0,165.0,170.0,170.0,0.0,0.0,140.0,140.0,-8,-0.3999999999999999,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,165.0,165.0,170.0,170.0,0.0,0.0,,0.0,0.0,0.0,0.0,140.0,140.0,52487924988.42,52.488,233.0,large,equity,data_raw,011111111,101111001,173.60000000000002,30.0,133.3,44.4,44.4,0.0,2,9,1.0,248.0,248.0,203.6,497.36,-5.16,False
141,XRP-USD,Cryptocurrency,26.8,9.0,1.4,6.1,-1.4,-13.1,-23.3,-44.6,-8.6,4.0,44.0,26.8,898.4,-75.3,1.6,2892.4,2306.4,137.5,236.0,236.0,195.0,195.0,0.0,0.0,141.0,141.0,32,-459.2999999999997,STRONG_DOWN,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,236.0,236.0,195.0,195.0,0.0,0.0,,0.0,0.0,0.0,0.0,141.0,141.0,70781044331.8,70.781,,crypto,crypto,data_raw,100000111,--0110111,131.8,30.0,142.9,85.7,85.7,57.1,3,7,1.0,247.5,247.5,218.9,2.6934,-57.78,False
142,DASH,Internet Retail,8.8,25.6,1.8,2.7,10.0,9.9,0.3,-16.2,2.1,20.0,,8.8,94.7,-64.4,1.6,0.0,70.3,71.9,374.0,374.0,219.0,219.0,0.0,0.0,142.0,142.0,15,-6.6000000000000085,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,374.0,374.0,219.0,219.0,0.0,0.0,,0.0,0.0,0.0,0.0,142.0,142.0,78980740226.56,78.981,156.0,large,equity,data_raw,1111011-1,-----0110,149.5,30.0,100.0,66.7,66.7,0.0,2,4,0.667,246.2,246.2,179.5,269.0,-28.62,False
143,FCX,Copper Mining,112.1,58.7,-5.4,-4.5,-3.2,-4.0,-4.4,11.9,5.6,-3.4,64.9,112.1,208.6,-56.5,1.6,113.3,40.4,257.2,122.0,122.0,127.0,127.0,0.0,0.0,143.0,143.0,-22,6.199999999999996,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,122.0,122.0,127.0,127.0,0.0,0.0,,0.0,0.0,0.0,0.0,143.0,143.0,87648026723.88,87.648,138.0,large,equity,data_raw,000011011,101111001,129.1,70.0,133.3,44.4,44.4,44.4,2,9,1.0,243.5,243.5,243.5,72.275,-15.64,False
144,491010.KS,Global AI Power Active,96.9,73.4,-16.8,-6.1,-2.3,10.4,29.2,52.7,,,,96.9,95.6,-15.5,1.5,26.5,1.6,115.7,273.0,273.0,137.0,137.0,0.0,0.0,144.0,144.0,-34,0.6000000000000001,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,273.0,273.0,137.0,137.0,0.0,0.0,,0.0,0.0,0.0,0.0,144.0,144.0,8680000000.0,8.68,,etf,etf,data_raw,00111---1,--------1,173.7,30.0,200.0,33.3,33.3,0.0,1,1,0.167,237.0,237.0,203.7,39295.0,-12.48,False
145,HPE,Hardware & Equipment,114.3,58.8,-9.1,-7.8,-8.3,20.6,44.6,58.5,87.0,106.8,130.8,114.3,238.4,-67.1,1.9,-20.1,-21.0,259.4,121.0,121.0,125.0,125.0,0.0,0.0,145.0,145.0,-6,-5.0,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,121.0,121.0,125.0,125.0,0.0,0.0,,0.0,0.0,0.0,0.0,145.0,145.0,54596910564.66,54.597,227.0,large,equity,data_raw,001111111,-00011101,144.8,70.0,88.9,22.2,22.2,22.2,1,9,1.0,237.0,237.0,237.0,64.25,-35.83,False
146,SYF,Consumer Finance,41.4,63.0,-8.5,-5.1,4.5,1.1,-1.6,-4.2,21.9,32.5,49.5,41.4,104.4,-64.4,1.3,73.9,20.3,186.5,173.0,173.0,179.0,179.0,0.0,0.0,146.0,146.0,-21,4.800000000000001,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,173.0,173.0,179.0,179.0,0.0,0.0,,0.0,0.0,0.0,0.0,146.0,146.0,25675141187.77,25.675,367.0,other,equity,data_raw,011001111,000110111,140.3,30.0,111.1,66.7,66.7,0.0,3,9,1.0,237.0,237.0,170.3,88.77,-14.01,False
147,WMT,Hypermarkets & Super Centers,65.2,51.7,-9.2,-5.5,1.1,-10.0,-12.0,-8.0,13.1,33.1,34.9,65.2,152.9,-28.0,1.2,175.5,55.6,210.3,149.0,149.0,152.0,152.0,0.0,0.0,147.0,147.0,0,15.0,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,149.0,149.0,152.0,152.0,0.0,0.0,,0.0,0.0,0.0,0.0,147.0,147.0,890031543551.84,890.032,15.0,cap100,equity,data_raw,010001111,110010111,140.3,30.0,133.3,66.7,66.7,0.0,3,9,1.0,237.0,237.0,170.3,135.155,-17.25,False
148,COST,Hypermarkets & Super Centers,95.1,50.6,-2.8,-2.3,2.7,-5.5,-5.9,-8.9,-14.6,-3.7,17.9,95.1,205.0,-17.8,1.3,269.0,140.1,240.2,133.0,133.0,139.0,139.0,0.0,0.0,148.0,148.0,-33,12.699999999999989,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,133.0,133.0,139.0,139.0,0.0,0.0,,0.0,0.0,0.0,0.0,148.0,148.0,422045465823.7,422.045,29.0,cap100,equity,data_raw,010000011,111111110,140.2,30.0,177.8,66.7,66.7,0.0,3,9,1.0,236.9,236.9,170.2,1096.5,-13.21,False
149,ORLY,Auto Parts,49.3,48.4,-1.7,-1.4,1.7,-5.6,-8.7,-15.5,-21.5,-12.7,8.3,49.3,154.4,-48.4,1.3,209.8,101.2,194.4,166.0,166.0,172.0,172.0,0.0,0.0,149.0,149.0,3,6.1000000000000085,EARLY_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,166.0,166.0,172.0,172.0,0.0,0.0,,0.0,0.0,0.0,0.0,149.0,149.0,74791535879.75,74.792,173.0,large,equity,data_raw,010000011,111111110,140.2,30.0,177.8,66.7,66.7,0.0,3,9,1.0,236.9,236.9,170.2,102.46,-11.92,False
150,GNRC,Electrical Equipment,64.0,16.8,-5.2,-11.5,-5.4,-0.9,17.0,26.1,36.1,-1.6,-16.9,64.0,673.8,-58.8,2.5,18.3,-29.4,209.1,152.0,152.0,157.0,157.0,0.0,0.0,150.0,150.0,-70,-8.599999999999998,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,152.0,152.0,157.0,157.0,0.0,0.0,,0.0,0.0,0.0,0.0,150.0,150.0,14873761157.04,14.874,458.0,other,equity,data_raw,000111001,111100001,118.0,30.0,111.1,88.9,88.9,44.4,4,9,1.0,236.9,236.9,192.4,296.44,-14.77,False
151,MSFT,Software,43.1,25.9,3.4,2.5,-5.8,-7.1,-11.8,-23.7,-39.4,-43.0,-39.4,43.1,201.5,-12.1,1.4,483.9,384.5,188.2,170.0,170.0,176.0,176.0,0.0,0.0,151.0,151.0,3,-82.5,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,170.0,170.0,176.0,176.0,0.0,0.0,,0.0,0.0,0.0,0.0,151.0,151.0,2900729395021.65,2900.729,3.0,cap10,equity,data_raw,100000001,111111010,118.0,30.0,155.6,88.9,88.9,22.2,4,9,1.0,236.9,236.9,170.2,553.72,-29.48,False
152,INTC,Semiconductors,109.7,81.4,-9.0,-8.4,3.4,40.2,97.7,198.0,250.2,213.1,154.2,109.7,171.8,-158.8,2.8,-107.2,-45.6,254.8,124.0,124.0,129.0,129.0,0.0,0.0,152.0,152.0,8,-9.700000000000003,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,124.0,124.0,129.0,129.0,0.0,0.0,,0.0,0.0,0.0,0.0,152.0,152.0,604879092330.93,604.879,20.0,cap100,equity,data_raw,011111111,110000001,140.2,70.0,66.7,22.2,22.2,22.2,1,9,1.0,232.4,232.4,232.4,142.34,-15.45,False
153,COR,Biotechnology,95.1,51.2,2.3,1.5,8.3,-2.4,-11.9,-15.0,-12.7,6.0,45.7,95.1,218.4,-33.7,1.2,288.7,113.3,240.2,133.0,133.0,139.0,139.0,0.0,0.0,153.0,153.0,8,-8.900000000000006,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,133.0,133.0,139.0,139.0,0.0,0.0,,0.0,0.0,0.0,0.0,153.0,153.0,57689301800.61,57.689,218.0,large,equity,data_raw,110000111,00-111110,135.1,30.0,111.1,66.7,66.7,22.2,3,9,1.0,231.8,231.8,187.3,377.54,-21.46,False
154,AIZ,Insurance - Property & Casualty,48.6,79.7,11.3,3.5,8.1,12.2,11.2,15.3,15.1,17.7,23.6,48.6,67.4,-23.8,1.4,19.5,7.1,193.7,167.0,167.0,173.0,173.0,0.0,0.0,154.0,154.0,10,-2.8000000000000007,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,167.0,167.0,173.0,173.0,0.0,0.0,,0.0,0.0,0.0,0.0,154.0,154.0,13847574133.11,13.848,467.0,other,equity,data_raw,111111111,011101111,195.8,30.0,155.6,0.0,0.0,0.0,0,9,1.0,225.8,225.8,225.8,279.5,-0.01,True
155,MAR,Lodging,52.0,80.2,-7.2,-3.3,1.0,0.9,4.1,13.5,15.1,31.5,47.8,52.0,77.5,-49.0,1.4,27.4,6.4,197.1,163.0,163.0,168.0,168.0,0.0,0.0,155.0,155.0,10,1.1000000000000005,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,163.0,163.0,168.0,168.0,0.0,0.0,,0.0,0.0,0.0,0.0,155.0,155.0,98342675166.71,98.343,124.0,large,equity,data_raw,011111111,110001111,173.60000000000002,30.0,133.3,22.2,22.2,0.0,1,9,1.0,225.8,225.8,203.6,410.98,-9.25,False
