Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,ytd,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
130,CSCO,Communications Equipment,124.6,100.0,2.1,,21.9,37.1,46.7,61.2,100.3,105.1,106.5,124.6,125.0,-66.9,1.5,-5.9,-7.1,274.8,113.0,113.0,115.0,115.0,36.22,36.22,219.52,219.52,10,0.8482281690630815,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,113.0,113.0,115.0,115.0,36.22,36.22,25.0,0.0,3.0,12.0,0.0,219.52,219.52,512386506450.0,512.387,23.0,cap100,equity,data_raw,130.3656,-6.69,False
131,KKR,Asset Management,105.6,24.9,-0.6,,-6.2,-6.2,-17.2,-30.4,-40.8,-32.2,-0.5,105.6,478.9,-17.5,1.4,999.1,620.5686236337893,255.9,120.0,120.0,124.0,124.0,43.44,43.44,219.69,219.69,55,-275.3317219168964,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,120.0,120.0,124.0,124.0,43.44,43.44,459.0,40.0,3.0,-2.0,0.0,219.69,219.69,85710950125.83,85.711,144.0,large,equity,data_raw,144.84,-35.52,False
132,KTOS,Aerospace & Defense,216.5,34.3,-0.9,,-1.4,-15.4,-23.1,-16.5,99.1,144.2,119.6,216.5,761.1,-66.8,1.5,803.9,116.70706783400333,366.8,80.0,80.0,83.0,83.0,27.37,27.37,219.72,219.72,-41,-64.16577178224638,EARLY_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,80.0,80.0,83.0,83.0,27.37,27.37,455.0,58.0,3.0,0.0,0.0,219.72,219.72,11888767271.73,11.889,485.0,other,equity,data_raw,134.0,-56.33,False
133,SHOP,E-commerce Software,473.6,31.4,-1.4,,-10.2,-13.1,-20.8,-25.3,-6.5,3.0,-12.7,473.6,1544.3,-16.5,1.3,1977.8,492.5045517829484,623.8,48.0,48.0,48.0,48.0,52.5,52.5,221.95,221.95,5,-608.9693115040808,EARLY_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,48.0,48.0,48.0,48.0,52.5,52.5,495.0,58.0,3.0,0.0,0.0,221.95,221.95,141520183257.56,141.52,89.0,cap100,equity,data_raw,182.19,-36.31,False
134,ARM,Semiconductors,215.5,93.1,-6.9,,38.8,103.5,158.0,155.2,,,,215.5,182.9,-70.9,2.2,-16.1,0.6995674640354421,251.4,123.0,123.0,84.0,84.0,17.5,17.5,221.95,221.95,10,0.07298737146592271,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,123.0,123.0,84.0,84.0,17.5,17.5,2.0,0.0,50.0,0.0,0.0,221.95,221.95,420224909942.01,420.225,28.0,cap100,equity,data_raw,427.99,-19.87,False
135,BKR,Oil & Gas Equipment & Services,55.1,82.9,5.8,,-1.9,-4.5,6.6,19.8,34.2,57.8,105.0,55.1,84.9,-85.4,1.3,14.4,-9.167696540024393,205.4,147.0,147.0,153.0,153.0,31.4,31.4,222.6,222.6,-17,-6.38937281771628,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,147.0,147.0,153.0,153.0,31.4,31.4,133.0,0.0,3.0,25.0,0.0,222.6,222.6,65585662164.18,65.586,198.0,large,equity,data_raw,70.41,-11.11,False
136,EBAY,Internet Retail,54.2,79.3,-0.2,,-0.1,3.3,8.8,11.9,55.9,52.1,50.0,54.2,85.0,-62.2,1.4,26.7,-3.679311705930847,204.4,148.0,148.0,154.0,154.0,37.33,37.33,223.53,223.53,-19,-1.0741059786774336,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,148.0,148.0,154.0,154.0,37.33,37.33,122.0,0.0,3.0,25.0,0.0,223.53,223.53,48462600677.49,48.463,246.0,large,equity,data_raw,119.31,-8.35,False
137,STT,Custody Banks & Asset Management,44.8,98.6,11.6,,2.0,7.9,13.3,22.6,54.5,62.0,73.0,44.8,46.8,-60.4,1.5,-6.8,-10.814403728345729,195.1,156.0,156.0,161.0,161.0,29.22,29.22,225.32,225.32,6,-2.8595508645104584,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,156.0,156.0,161.0,161.0,29.22,29.22,86.0,0.0,3.0,-6.0,0.0,225.32,225.32,45043834620.75,45.044,253.0,large,equity,data_raw,163.95,-0.73,False
138,WELL,Healthcare REITs,67.3,70.7,-4.6,,-5.1,-9.3,-7.8,-3.1,31.7,53.2,67.3,67.3,117.6,-51.9,1.1,98.1,3.5949288227351355,217.6,138.0,138.0,143.0,143.0,23.07,23.07,225.57,225.57,-22,-7.226344758881317,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,138.0,138.0,143.0,143.0,23.07,23.07,304.0,4.0,3.0,25.0,0.0,225.57,225.57,141782921591.06,141.783,88.0,cap100,equity,data_raw,221.68,-9.4,False
139,NOW,Software,7.8,16.1,-2.8,,7.0,3.3,-9.4,-31.2,-58.5,-65.4,-75.0,7.8,347.6,-56.8,1.7,869.6,215.66418193001513,158.1,191.0,191.0,201.0,201.0,53.85,53.85,225.6,225.6,78,-1642.082931458087,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,191.0,191.0,201.0,201.0,53.85,53.85,334.0,10.0,3.0,0.0,0.0,225.6,225.6,123096923509.46,123.097,97.0,cap100,equity,data_raw,192.966,-38.14,False
140,GEV,Electrical Equipment,176.0,62.0,-3.3,,-6.4,-5.2,13.5,30.6,,,,176.0,230.7,-7.2,1.3,173.0,11.606216003489312,203.3,150.0,150.0,98.0,98.0,20.5,20.5,226.5,226.5,-17,-18.220109416001236,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,150.0,150.0,98.0,98.0,20.5,20.5,106.0,4.0,50.0,25.0,0.0,226.5,226.5,258866037375.73,258.866,48.0,cap100,equity,data_raw,1181.95,-21.01,False
141,MSCI,Financial Index & Analytics,66.4,25.2,-2.4,,-1.8,-1.5,-1.9,-4.6,-21.7,-38.1,-38.8,66.4,285.4,-7.2,1.3,297.1,69.92913852220993,216.7,140.0,140.0,145.0,145.0,90.73,90.73,226.88,226.88,-20,-185.3680519713185,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,140.0,140.0,145.0,145.0,90.73,90.73,219.0,0.0,3.0,0.0,0.0,226.88,226.88,45008924505.92,45.009,254.0,large,equity,data_raw,644.68,-4.0,False
142,PHM,Residential Construction,82.9,38.0,-0.2,,-2.6,-11.0,-12.5,-15.2,-28.1,6.8,26.3,82.9,254.9,-29.3,1.3,318.3,201.51776099576114,233.1,132.0,132.0,136.0,136.0,38.33,38.33,226.88,226.88,7,-22.080693366164667,EARLY_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,132.0,132.0,136.0,136.0,38.33,38.33,401.0,40.0,3.0,0.0,0.0,226.88,226.88,22519296884.19,22.519,382.0,other,equity,data_raw,144.5,-18.19,False
143,FICO,Financial Technology,139.5,20.8,-4.2,,-0.7,-8.6,-21.7,-33.1,-52.0,-13.3,0.6,139.5,694.1,-6.1,1.4,1616.1,165.58977801919485,289.8,108.0,108.0,110.0,110.0,42.89,42.89,227.54,227.54,-51,-945.5440116971326,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,108.0,108.0,110.0,110.0,42.89,42.89,479.0,40.0,3.0,0.0,0.0,227.54,227.54,27056828897.83,27.057,344.0,other,equity,data_raw,1998.01,-43.08,False
144,NEM,Gold Mining,40.5,62.7,-1.9,,-2.4,-12.9,-8.6,15.3,81.5,60.0,42.0,40.5,127.4,-105.8,1.6,10.8,-15.035790099295784,190.7,159.0,159.0,166.0,166.0,37.66,37.66,228.81,228.81,21,16.648310958552823,EARLY_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,159.0,159.0,166.0,166.0,37.66,37.66,226.0,4.0,3.0,0.0,0.0,228.81,228.81,115647992878.87,115.648,104.0,large,equity,data_raw,134.88,-19.68,False
145,BX,Asset Management,186.3,33.6,0.7,,-4.8,-6.8,-16.4,-28.3,-43.5,-44.3,-3.8,186.3,591.0,-17.7,1.3,990.4,1013.6319950216206,336.6,91.0,91.0,93.0,93.0,43.44,43.44,229.44,229.44,34,294.00328681124233,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,91.0,91.0,93.0,93.0,43.44,43.44,449.0,40.0,3.0,25.0,0.0,229.44,229.44,87985528636.31,87.986,138.0,large,equity,data_raw,178.29,-35.3,False
146,PM,Tobacco,17.0,59.8,-3.3,,0.8,-4.6,-3.7,-4.9,21.5,27.5,41.2,17.0,67.0,-56.2,1.3,53.5,0.8335319908625304,167.3,178.0,178.0,186.0,186.0,20.26,20.26,230.66,230.66,-4,-1.079840414565731,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,178.0,178.0,186.0,186.0,20.26,20.26,236.0,0.0,3.0,25.0,0.0,230.66,230.66,272732221022.96,272.732,46.0,cap100,equity,data_raw,193.045,-9.35,False
147,WMT,Hypermarkets & Super Centers,78.2,58.9,2.6,,-6.3,-13.0,-10.5,-5.6,20.3,41.6,44.3,78.2,152.9,-28.0,1.2,153.9,114.26687883300163,228.4,137.0,137.0,141.0,141.0,30.52,30.52,231.02,231.02,-8,78.68216221819858,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,137.0,137.0,141.0,141.0,30.52,30.52,363.0,20.0,3.0,25.0,0.0,231.02,231.02,936984222709.41,936.984,13.0,cap100,equity,data_raw,135.155,-12.89,False
148,MCK,Healthcare Distribution,133.5,54.2,1.9,,-4.4,-17.7,-18.6,-17.4,-9.6,27.2,95.7,133.5,285.1,-46.0,1.1,345.1,274.7183432008957,283.8,109.0,109.0,111.0,111.0,31.33,31.33,232.58,232.58,16,158.0162355789729,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL,,,,,109.0,109.0,111.0,111.0,31.33,31.33,462.0,58.0,3.0,0.0,0.0,232.58,232.58,90988457871.78,90.988,133.0,large,equity,data_raw,999.0,-24.23,False
149,PLTR,Software,585.3,56.5,-8.1,,-9.1,-11.0,-16.4,-22.1,258.3,578.4,,585.3,1018.1,-71.2,1.2,1206.7,22.221950489125987,655.8,45.0,45.0,38.0,38.0,34.0,34.0,233.45,233.45,-45,-278.82458524902927,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,45.0,45.0,38.0,38.0,34.0,34.0,454.0,58.0,14.0,0.0,0.0,233.45,233.45,325353301020.75,325.353,38.0,cap100,equity,data_raw,207.52,-31.72,False
150,BTC-USD,Cryptocurrency,1555.7,44.2,-8.1,,-16.8,-17.9,-25.0,-42.0,-30.9,-9.5,76.5,1555.7,3326.6,-9.6,1.3,5556.8,139.56662960005121,1705.9,9.0,9.0,9.0,9.0,38.44,38.44,233.89,233.89,-50,-1881.171032994871,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,9.0,9.0,9.0,9.0,38.44,38.44,554.0,58.0,3.0,25.0,0.0,233.89,233.89,1278094250480.62,1278.094,,crypto,crypto,data_raw,126198.0703,-51.2,False
151,ROST,Apparel Retail,15.9,79.3,1.2,,0.5,-1.2,7.1,24.2,25.1,34.4,19.7,15.9,37.2,-63.8,2.3,-31.2,-15.828293440796347,166.2,182.0,182.0,190.0,190.0,21.13,21.13,234.98,234.98,7,-3.765346627040943,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,182.0,182.0,190.0,190.0,21.13,21.13,113.0,0.0,3.0,-6.0,0.0,234.98,234.98,74761236789.4,74.761,170.0,large,equity,data_raw,237.41,-1.83,False
152,GNRC,Electrical Equipment,91.9,20.6,-0.1,,2.8,10.7,38.1,45.4,52.6,9.7,-0.8,91.9,673.8,-58.8,2.4,-17.6,-20.968924682975224,242.2,126.0,126.0,129.0,129.0,49.71,49.71,235.21,235.21,-24,-12.257012282913015,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,126.0,126.0,129.0,129.0,49.71,49.71,50.0,0.0,3.0,0.0,0.0,235.21,235.21,16373735795.67,16.374,440.0,other,equity,data_raw,294.18,-11.1,False
153,MSFT,Software,67.3,37.2,-8.1,,-4.2,-2.2,-9.2,-20.7,-34.2,-35.0,-27.9,67.3,201.5,-12.1,1.4,348.6,9.426062312949856,217.6,138.0,138.0,143.0,143.0,55.05,55.05,235.5,235.5,-26,-222.51725521449714,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,138.0,138.0,143.0,143.0,55.05,55.05,357.0,10.0,3.0,0.0,0.0,235.5,235.5,3179741384368.07,3179.741,3.0,cap10,equity,data_raw,553.72,-22.7,False
154,NRG,Independent Power Producers,309.0,56.7,-0.9,,-7.4,-19.3,-22.4,-28.3,39.6,107.8,150.9,309.0,554.2,-22.3,1.2,738.6,153.9550975367476,459.3,60.0,60.0,63.0,63.0,22.75,22.75,237.95,237.95,-25,-42.84931756976226,STRONG_DOWN,UPPER_RANGE,NEUTRAL,S5_TRASH,,,,,60.0,60.0,63.0,63.0,22.75,22.75,516.0,58.0,3.0,25.0,0.0,237.95,237.95,28143485104.52,28.143,336.0,other,equity,data_raw,189.96,-29.78,False
155,AMZN,Internet Retail,32.7,33.7,-10.7,,-6.6,0.6,-0.7,-2.8,-2.5,-0.1,-14.0,32.7,152.6,-27.7,1.2,112.0,1.7841476368950178,183.0,167.0,167.0,174.0,174.0,43.05,43.05,241.1,241.1,-91,-44.338959246079,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,167.0,167.0,174.0,174.0,43.05,43.05,210.0,0.0,3.0,25.0,0.0,241.1,241.1,2730046731540.64,2730.047,4.0,cap10,equity,data_raw,278.56,-11.68,False
156,AMP,Asset Management,59.2,34.5,2.4,,-2.8,-7.6,-11.8,-19.1,-32.3,-27.0,7.5,59.2,218.6,-24.3,1.3,365.0,394.3727384675131,209.4,145.0,145.0,151.0,151.0,72.33,72.33,241.13,241.13,74,99.2782364352554,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,145.0,145.0,151.0,151.0,72.33,72.33,397.0,22.0,3.0,-2.0,0.0,241.13,241.13,40911263628.35,40.911,263.0,large,equity,data_raw,550.18,-17.36,False
157,MSI,Public Safety Technology,45.4,28.9,2.5,,-5.4,-14.2,-9.9,-16.7,-28.2,-22.1,-10.4,45.4,183.0,-10.2,1.3,341.1,401.6609586911295,195.7,155.0,155.0,160.0,160.0,72.89,72.89,242.69,242.69,30,130.0193461255725,EARLY_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,155.0,155.0,160.0,160.0,72.89,72.89,415.0,14.0,3.0,0.0,0.0,242.69,242.69,68177705641.67,68.178,190.0,large,equity,data_raw,490.24,-16.22,False
158,PKG,Packaging & Containers,15.5,39.8,5.6,,-0.2,-5.4,-3.8,-4.4,-9.7,-2.3,7.9,15.5,85.1,-30.1,1.3,68.6,106.43927189703209,165.8,184.0,184.0,192.0,192.0,81.22,81.22,242.92,242.92,20,33.49623451385173,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,184.0,184.0,192.0,192.0,81.22,81.22,248.0,4.0,3.0,-6.0,0.0,242.92,242.92,20019575211.96,20.02,410.0,other,equity,data_raw,249.51,-9.95,False
159,BAESY,Aerospace & Defense,110.6,62.2,-7.8,,-6.0,-16.1,-9.7,-12.5,12.6,58.7,107.6,110.6,218.5,-65.9,1.2,228.1,5.091359011084906,260.9,119.0,119.0,123.0,123.0,28.27,28.27,243.22,243.22,-66,-39.97701048412514,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,119.0,119.0,123.0,123.0,28.27,28.27,412.0,14.0,3.0,25.0,0.0,243.22,243.22,75822184103.1,75.822,166.0,large,equity,data_raw,126.0,-18.53,False
160,ETR,Electric Utilities,24.1,64.2,0.2,,-3.4,-8.6,-2.4,1.3,32.3,34.9,25.6,24.1,72.9,-62.1,1.2,32.4,-4.426068079964469,174.4,174.0,174.0,183.0,183.0,27.74,27.74,248.44,248.44,-29,-0.3216315243702974,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,174.0,174.0,183.0,183.0,27.74,27.74,240.0,4.0,3.0,25.0,0.0,248.44,248.44,50037874081.22,50.038,242.0,large,equity,data_raw,118.445,-6.51,False
161,NXPI,Semiconductors,13.7,66.3,0.3,,3.9,22.1,29.9,30.9,9.7,2.9,12.1,13.7,56.6,-69.4,1.9,-52.5,-8.718384264084117,164.0,187.0,187.0,196.0,196.0,36.98,36.98,249.18,249.18,-16,-2.158810260360724,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,187.0,187.0,196.0,196.0,36.98,36.98,55.0,0.0,3.0,0.0,0.0,249.18,249.18,81351231383.57,81.351,150.0,large,equity,data_raw,339.95,-5.22,False
162,457480.KS,Tesla Value Chain,41.3,50.3,-6.8,,1.0,2.1,3.2,15.8,41.0,,,41.3,24.9,-57.4,1.5,0.0,-2.1123329865797205,82.4,318.0,318.0,164.0,164.0,17.5,17.5,250.25,250.25,1,20.198444637677923,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,318.0,318.0,164.0,164.0,17.5,17.5,127.0,0.0,29.0,0.0,0.0,250.25,250.25,11678000000.0,11.678,,etf,etf,data_raw,25895.0,-6.66,False
163,CBOE,Financial Data & Stock Exchanges,36.1,52.0,-26.9,,-10.9,-12.2,-6.0,-2.3,8.5,29.7,38.4,36.1,121.0,-55.4,1.2,77.8,0.4671379831781863,186.4,162.0,162.0,169.0,169.0,28.44,28.44,250.34,250.34,-65,-5.798955571161741,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,162.0,162.0,169.0,169.0,28.44,28.44,336.0,4.0,3.0,25.0,0.0,250.34,250.34,29934121709.77,29.934,318.0,other,equity,data_raw,371.18,-24.05,False
164,RTX,Aerospace & Defense,5.6,49.2,-0.4,,1.4,-9.8,-10.3,-5.7,25.5,28.1,31.3,5.6,73.4,-59.3,1.2,30.7,-2.8466301475826215,155.9,197.0,197.0,208.0,208.0,29.05,29.05,250.75,250.75,18,14.49053794107599,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,197.0,197.0,208.0,208.0,29.05,29.05,309.0,12.0,3.0,-2.0,0.0,250.75,250.75,241608478749.18,241.608,51.0,cap100,equity,data_raw,214.5,-16.36,False
165,INSM,Biotechnology,180.5,34.9,-1.3,,-13.6,-29.8,-39.2,-33.4,74.0,150.3,152.0,180.5,673.7,-82.7,1.2,946.6,162.38490545144316,330.7,93.0,93.0,96.0,96.0,41.71,41.71,251.11,251.11,-5,-124.16497107095324,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,93.0,93.0,96.0,96.0,41.71,41.71,569.0,58.0,3.0,-2.0,0.0,251.11,251.11,22741666762.03,22.742,381.0,other,equity,data_raw,212.75,-55.71,False
166,COP,Oil & Gas,12.6,33.7,4.5,,-2.5,-8.2,1.3,6.0,-20.9,-23.0,13.3,12.6,179.6,-71.5,1.4,17.3,46.06421323708437,162.9,188.0,188.0,197.0,197.0,83.42,83.42,253.57,253.57,42,-6.01896384111101,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,188.0,188.0,197.0,197.0,83.42,83.42,193.0,4.0,3.0,-2.0,0.0,253.57,253.57,145257198544.34,145.257,87.0,cap100,equity,data_raw,135.87,-13.79,False
167,GM,Automobiles,-13.8,58.0,-0.1,,2.8,-0.9,-2.8,12.1,41.5,30.1,22.1,-13.8,32.7,-83.2,1.9,0.0,-38.08662470654185,136.5,216.0,216.0,232.0,232.0,47.2,47.2,253.85,253.85,-11,1.1350425594799987,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,216.0,216.0,232.0,232.0,47.2,47.2,151.0,0.0,3.0,0.0,0.0,253.85,253.85,75036578628.57,75.037,169.0,large,equity,data_raw,87.6,-6.27,False
168,INTC,Semiconductors,81.2,80.2,-3.2,,4.8,65.3,107.4,209.3,225.7,184.8,127.0,81.2,141.0,-158.8,2.5,-127.9,-19.78614599748793,231.5,134.0,134.0,138.0,138.0,48.07,48.07,256.42,256.42,-20,16.73717084126925,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,134.0,134.0,138.0,138.0,48.07,48.07,7.0,0.0,3.0,25.0,0.0,256.42,256.42,561806273864.75,561.806,20.0,cap100,equity,data_raw,132.75,-25.3,False
169,MSTR,Enterprise Software,288.3,16.6,-5.9,,-22.7,-16.5,-21.6,-49.1,-10.3,77.4,197.3,288.3,2076.0,-66.6,1.6,5755.6,220.65123050729983,438.6,61.0,61.0,66.0,66.0,42.78,42.78,258.93,258.93,-63,-3190.9553975203335,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,61.0,61.0,66.0,66.0,42.78,42.78,562.0,58.0,3.0,25.0,0.0,258.93,258.93,42985934388.66,42.986,257.0,large,equity,data_raw,365.21,-64.58,False
170,DOGE-USD,Cryptocurrency,1029.2,4.8,-0.8,,-17.7,-17.7,-25.9,-48.3,-64.7,-85.0,652.7,1029.2,22199.9,-45.9,1.5,48819.7,3033.110652700666,1144.5,19.0,19.0,18.0,18.0,78.64,78.64,259.29,259.29,-23,-1957.1734670358028,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,19.0,19.0,18.0,18.0,78.64,78.64,564.0,58.0,3.0,25.0,0.0,259.29,259.29,15130659314.1,15.131,,crypto,crypto,data_raw,0.27,-69.45,False
171,JBHT,Airlines,-9.9,68.7,3.7,,5.5,10.1,22.3,48.9,28.5,7.8,5.9,-9.9,39.4,-116.6,2.5,0.0,-113.46873383968855,140.4,210.0,210.0,225.0,225.0,71.7,71.7,259.35,259.35,12,-72.25657264409492,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,210.0,210.0,225.0,225.0,71.7,71.7,57.0,0.0,3.0,-6.0,0.0,259.35,259.35,26715906971.71,26.716,349.0,other,equity,data_raw,289.95,-1.72,False
172,NTRS,Custody Banks & Asset Management,-11.9,69.7,9.2,,1.6,5.2,9.4,15.9,55.5,39.3,25.3,-11.9,22.7,-90.2,1.5,0.0,-300.2420198744367,138.4,213.0,213.0,228.0,228.0,57.17,57.17,259.77,259.77,5,-264.4497943616713,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,213.0,213.0,228.0,228.0,57.17,57.17,105.0,0.0,3.0,-6.0,0.0,259.77,259.77,32024278017.7,32.024,311.0,other,equity,data_raw,173.66,-0.35,True
173,DHI,Residential Construction,27.5,22.0,-0.7,,-3.8,-9.1,-10.6,-14.5,-34.2,-26.5,-14.3,27.5,205.9,-22.5,1.5,289.3,216.33073091750396,177.8,171.0,171.0,180.0,180.0,77.33,77.33,262.53,262.53,17,-99.00605659660755,EARLY_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,171.0,171.0,180.0,180.0,77.33,77.33,373.0,22.0,3.0,0.0,0.0,262.53,262.53,41518892177.83,41.519,259.0,large,equity,data_raw,176.22,-17.38,False
174,AXP,Consumer Finance,33.1,40.2,-2.6,,-3.7,-7.1,-14.2,-17.1,-6.5,1.2,14.2,33.1,125.3,-28.1,1.2,193.7,26.326666763296128,183.4,165.0,165.0,172.0,172.0,31.33,31.33,263.98,263.98,10,-57.90102984957073,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,165.0,165.0,172.0,172.0,31.33,31.33,400.0,22.0,3.0,25.0,0.0,263.98,263.98,213247482397.87,213.247,55.0,cap100,equity,data_raw,387.49,-19.83,False
175,DDOG,Software-Infrastructure,80.8,56.6,-2.3,,28.1,63.3,63.2,60.1,60.2,52.7,,80.8,147.3,-87.1,1.9,-67.4,-7.727862375455014,167.9,175.0,175.0,139.0,139.0,61.46,61.46,264.11,264.11,10,18.109142955064375,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,175.0,175.0,139.0,139.0,61.46,61.46,16.0,0.0,14.0,0.0,0.0,264.11,264.11,80589166412.0,80.589,152.0,large,equity,data_raw,278.705,-16.0,False
176,DVA,Healthcare,-24.4,61.4,-1.8,,11.5,12.0,31.7,27.7,10.7,8.8,2.4,-24.4,29.9,-109.4,2.1,0.0,-8.721389333839282,125.8,236.0,236.0,253.0,253.0,41.91,41.91,264.61,264.61,-4,5.833372043362758,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,236.0,236.0,253.0,253.0,41.91,41.91,58.0,0.0,3.0,25.0,0.0,264.61,264.61,12334431332.47,12.334,476.0,other,equity,data_raw,202.69,-5.2,False
177,LYV,Entertainment,27.9,36.5,-9.5,,-4.3,-7.4,-2.2,-7.1,2.1,-3.9,-2.8,27.9,117.4,-22.9,1.3,128.5,1.6631752337755286,178.2,170.0,170.0,179.0,179.0,52.3,52.3,266.8,266.8,-72,-36.46620686313504,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,170.0,170.0,179.0,179.0,52.3,52.3,284.0,4.0,3.0,25.0,0.0,266.8,266.8,37469086488.66,37.469,284.0,large,equity,data_raw,173.05,-7.5,False
178,FANG,Oil & Gas E&P,5.6,55.8,6.9,,-2.6,-1.8,7.4,15.4,-9.3,-2.4,60.0,5.6,98.2,-109.7,1.3,-33.4,84.39777989626079,155.9,197.0,197.0,208.0,208.0,75.69,75.69,267.29,267.29,31,81.7650196704682,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,197.0,197.0,208.0,208.0,75.69,75.69,135.0,0.0,3.0,-6.0,0.0,267.29,267.29,57089721179.98,57.09,217.0,large,equity,data_raw,214.51,-10.2,False
179,AME,Electronic Instruments & Controls,5.9,40.4,4.4,,-1.6,-7.2,-4.2,-0.4,-8.9,-11.4,-11.6,5.9,46.1,-21.9,2.0,16.4,25.075388329280447,156.1,196.0,196.0,207.0,207.0,84.7,84.7,269.95,269.95,16,12.168128128451634,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,196.0,196.0,207.0,207.0,84.7,84.7,245.0,4.0,3.0,-4.0,0.0,269.95,269.95,52432477478.47,52.432,230.0,large,equity,data_raw,243.18,-6.84,False
